                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.62161,                0.95633,                  1.231,                0.65178,                0.83206,                0.76537,                0.60099,                0.58701,                0.89933,                 1.2673,               0.003763,               0.003763,               0.003763
                     65,                0.60593,                0.95396,                 1.2182,                0.67824,                0.78436,                0.74381,                0.60354,                0.54622,                0.88061,                 1.2274,               0.003664,               0.003664,               0.003664
                     66,                  0.616,                0.94961,                 1.2305,                0.74788,                0.75489,                0.78761,                0.63412,                0.56058,                0.85631,                 1.2351,               0.003565,               0.003565,               0.003565
                     67,                0.61467,                0.95276,                  1.228,                 0.6004,                0.85535,                0.72483,                0.57342,                0.54978,                0.90022,                  1.223,               0.003466,               0.003466,               0.003466
                     68,                0.60648,                0.94683,                 1.2216,                0.66452,                 0.7543,                0.77774,                0.62415,                0.54711,                0.90176,                 1.2156,               0.003367,               0.003367,               0.003367
                     69,                0.59759,                0.94528,                 1.2108,                0.67086,                0.84216,                0.75906,                0.61662,                0.53184,                 0.8656,                 1.1917,               0.003268,               0.003268,               0.003268
                     70,                0.59201,                0.94159,                 1.2151,                0.65049,                0.87045,                0.77006,                0.61888,                0.55495,                0.87929,                 1.2216,               0.003169,               0.003169,               0.003169
                     71,                0.59617,                0.92615,                 1.2108,                0.70722,                0.73438,                0.76008,                0.60902,                0.55023,                0.89085,                 1.2226,                0.00307,                0.00307,                0.00307
                     72,                0.58554,                0.92069,                 1.2013,                0.59736,                0.83742,                0.73665,                 0.5811,                0.55859,                0.88144,                 1.2344,               0.002971,               0.002971,               0.002971
                     73,                0.59396,                0.93328,                 1.2076,                0.60381,                0.88017,                0.78397,                0.63667,                0.54423,                0.91203,                 1.2119,               0.002872,               0.002872,               0.002872
                     74,                0.59134,                0.91953,                 1.2091,                0.68456,                0.75665,                0.78024,                0.63856,                 0.5414,                0.87062,                 1.2105,               0.002773,               0.002773,               0.002773
                     75,                0.59389,                0.92007,                 1.2094,                0.68754,                 0.7462,                0.77424,                0.62246,                0.54118,                0.88575,                 1.2165,               0.002674,               0.002674,               0.002674
                     76,                0.58605,                0.91096,                 1.2045,                0.67712,                0.72777,                0.76393,                0.61828,                0.55049,                0.88375,                 1.2235,               0.002575,               0.002575,               0.002575
                     77,                0.59742,                0.92666,                 1.2101,                0.71289,                0.69737,                 0.7364,                0.58756,                0.55682,                0.90591,                 1.2322,               0.002476,               0.002476,               0.002476
