                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.63226,                 1.0001,                 1.2032,                0.65451,                0.85762,                0.78285,                0.62992,                0.56886,                0.89102,                 1.2219,                0.00406,                0.00406,                0.00406
                     62,                0.62464,                0.99181,                 1.1951,                0.68725,                 0.7573,                0.74709,                0.60555,                0.55145,                0.86515,                 1.2079,               0.003961,               0.003961,               0.003961
                     63,                0.62978,                0.98979,                 1.1981,                0.73348,                 0.7438,                 0.7826,                0.61855,                0.55912,                0.82776,                 1.2187,               0.003862,               0.003862,               0.003862
                     64,                0.62618,                 0.9905,                 1.2002,                0.69034,                 0.7692,                0.78212,                 0.6335,                0.54367,                 0.8554,                 1.1974,               0.003763,               0.003763,               0.003763
                     65,                0.61955,                 0.9826,                 1.1908,                0.72143,                 0.7393,                 0.7741,                0.62717,                0.53952,                  0.839,                 1.1938,               0.003664,               0.003664,               0.003664
                     66,                0.62903,                0.98419,                 1.1959,                0.73567,                0.70525,                0.78737,                0.64285,                0.54788,                0.84148,                 1.2042,               0.003565,               0.003565,               0.003565
                     67,                0.62256,                0.97765,                 1.1936,                0.70524,                0.77694,                 0.8145,                0.65941,                0.55066,                0.85085,                  1.203,               0.003466,               0.003466,               0.003466
                     68,                0.61715,                0.97038,                  1.186,                0.70296,                0.79162,                0.79953,                0.65372,                0.55009,                0.83658,                 1.1996,               0.003367,               0.003367,               0.003367
                     69,                0.62256,                0.97217,                 1.1894,                0.74731,                0.77693,                 0.8127,                0.66504,                0.54143,                0.80158,                 1.1867,               0.003268,               0.003268,               0.003268
                     70,                0.60986,                0.96809,                 1.1827,                0.72583,                0.74141,                0.79592,                 0.6562,                0.53902,                0.81232,                 1.1968,               0.003169,               0.003169,               0.003169
                     71,                0.60861,                0.95927,                 1.1785,                0.69585,                0.80069,                 0.7955,                0.65249,                0.55603,                0.82209,                 1.2096,                0.00307,                0.00307,                0.00307
                     72,                0.60624,                0.96145,                 1.1761,                0.75555,                0.72724,                0.79952,                0.66086,                0.55421,                0.79695,                 1.2086,               0.002971,               0.002971,               0.002971
                     73,                0.60295,                0.95221,                 1.1772,                0.65013,                0.81719,                0.77592,                0.63685,                0.54267,                0.85389,                 1.1973,               0.002872,               0.002872,               0.002872
                     74,                0.60063,                0.96058,                 1.1805,                0.72427,                0.79487,                0.82048,                0.67628,                0.54361,                0.81704,                 1.1992,               0.002773,               0.002773,               0.002773
                     75,                0.60454,                0.95528,                 1.1787,                0.77057,                0.70361,                0.80136,                0.65606,                0.54309,                0.78381,                 1.1941,               0.002674,               0.002674,               0.002674
                     76,                0.58893,                 0.9445,                 1.1713,                0.67738,                0.73297,                0.75655,                0.62125,                0.53872,                0.85537,                 1.1899,               0.002575,               0.002575,               0.002575
                     77,                 0.5972,                0.95435,                 1.1727,                0.70881,                0.74352,                0.79648,                 0.6393,                0.54292,                0.80722,                 1.1914,               0.002476,               0.002476,               0.002476
                     78,                0.60023,                0.94216,                 1.1787,                0.69319,                0.81477,                 0.8092,                0.66376,                0.54286,                 0.7977,                 1.2018,               0.002377,               0.002377,               0.002377
                     79,                0.59788,                0.94325,                 1.1773,                0.68637,                0.83659,                0.81213,                0.64795,                0.55365,                  0.824,                 1.2111,               0.002278,               0.002278,               0.002278
                     80,                0.60209,                0.94784,                 1.1747,                0.66964,                0.82299,                0.80032,                0.65482,                0.54056,                0.82389,                 1.1991,               0.002179,               0.002179,               0.002179
                     81,                0.58856,                0.93838,                 1.1683,                0.69612,                0.77338,                0.77924,                0.62799,                0.54304,                0.81971,                 1.1981,                0.00208,                0.00208,                0.00208
                     82,                0.58742,                0.93993,                 1.1666,                0.63944,                0.83229,                0.78499,                0.64177,                0.53995,                0.86142,                 1.2022,               0.001981,               0.001981,               0.001981
